,Diện tích,Phòng ngủ,Phòng tắm,Pháp lý,Ngày đăng,Mã BĐS,Địa chỉ,Giá
13,73.5,2,2,Sổ hồng,11/03/2023,21979375," Tạ Quang Bửu, Phường 5, Quận 8, TPHCM",1 tỷ 934 triệu
14,81.0,2,2,Sổ hồng,11/03/2023,22003653," Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM",2 tỷ 195 triệu
15,70.0,2,2,Sổ hồng,11/03/2023,21962898," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",3 tỷ 540 triệu
16,75.6,2,2,Sổ hồng,11/03/2023,22049694," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",2 tỷ 220 triệu
17,79.0,2,2,Sổ hồng,11/03/2023,21979338," Lương Định Của, Phường Bình Khánh, Quận 2 (TP. Thủ Đức), TPHCM",2 tỷ 236 triệu
18,69.0,2,1,Sổ hồng,11/03/2023,22027807," Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, TPHCM",1 tỷ 850 triệu
19,90.0,2,2,Sổ hồng,11/03/2023,21962894," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",1 tỷ 880 triệu
20,65.2,2,2,Sổ hồng,11/03/2023,22049746," Quốc Lộ 1A, Phường Tân Tạo, Quận Bình Tân, TPHCM",1 tỷ 670 triệu
21,79.0,2,2,Sổ hồng,11/03/2023,21979327," Liên Phường, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 527 triệu
22,80.0,2,2,Sổ hồng,11/03/2023,22004002," Đường số 62, Phường Bình Trưng Đông, Quận 2 (TP. Thủ Đức), TPHCM",1 tỷ 840 triệu
23,79.0,2,2,Sổ hồng,11/03/2023,21962420," Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, TPHCM",2 tỷ 157 triệu
24,50.6,2,1,Sổ hồng,11/03/2023,22052424," Cô Giang, Phường Cô Giang, Quận 1, TPHCM",2 tỷ 110 triệu
25,64.0,2,2,Sổ hồng,11/03/2023,21979366," Tân Hòa Đông, Phường 13, Quận 6, TPHCM",1 tỷ 659 triệu
26,76.0,2,2,Sổ đỏ,11/03/2023,21481982," Lương Định Của, Phường Bình Khánh, Quận 2 (TP. Thủ Đức), TPHCM",3 tỷ 700 triệu
27,105.0,3,2,Sổ hồng,11/03/2023,21962116," Tản Đà, Phường 11, Quận 5, TPHCM",2 tỷ 520 triệu
28,90.5,3,3,Sổ hồng,11/03/2023,22049814," Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2 (TP. Thủ Đức), TPHCM",2 tỷ 360 triệu
29,86.0,2,2,Sổ hồng,11/03/2023,21979419," Hậu Giang, Phường 11, Quận 6, TPHCM",1 tỷ 837 triệu
30,67.0,2,2,Sổ hồng,11/03/2023,22028060," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",1 tỷ 785 triệu
31,84.0,2,2,Sổ hồng,11/03/2023,21962405," Phan Văn Khỏe, Phường 2, Quận 6, TPHCM",2 tỷ 159 triệu
32,50.6,1,1,Sổ hồng,11/03/2023,21979409," Bến Vân Đồn, Phường 1, Quận 4, TPHCM",1 tỷ 378 triệu
33,68.0,2,2,Sổ hồng,11/03/2023,22028102," Nguyễn Thị Tú, Phường Bình Hưng Hòa B, Quận Bình Tân, TPHCM",1 tỷ 550 triệu
34,70.0,2,2,Sổ hồng,11/03/2023,21964286," Phạm văn hai, Phường 3, Quận Tân Bình, TPHCM",2 tỷ 375 triệu
35,65.0,2,2,Sổ hồng,11/03/2023,22054070," Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, TPHCM",1 tỷ 385 triệu
36,68.0,2,2,Sổ hồng,11/03/2023,21979453," Bông Sao, Phường 5, Quận 8, TPHCM",1 tỷ 645 triệu
37,70.0,2,2,Không xác định,11/03/2023,22028121," Trương Đăng Quế, Phường 3, Quận Gò Vấp, TPHCM",1 tỷ 650 triệu
38,75.0,2,2,Sổ hồng,11/03/2023,21962558," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",1 tỷ 753 triệu
39,60.0,2,1,Sổ hồng,11/03/2023,22053995," Đào Trí, Phường Phú Thuận, Quận 7, TPHCM",1 tỷ 385 triệu
40,45.0,1,1,Sổ hồng,11/03/2023,21979044," Đường D1, Phường 25, Quận Bình Thạnh, TPHCM",1 tỷ 472 triệu
41,71.0,2,2,Sổ hồng,11/03/2023,22028139," Đường số 20, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1 tỷ 730 triệu
42,64.0,2,2,Sổ hồng,11/03/2023,21962739," Trường Chinh, Phường Tân Thới Nhất, Quận 12, TPHCM",1 tỷ 590 triệu
43,46.0,2,1,Sổ hồng,11/03/2023,21738782," Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội",620 triệu
44,72.0,2,2,Sổ hồng,11/03/2023,22054046," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",2 tỷ 155 triệu
45,80.0,2,2,Không xác định,11/03/2023,22027371," Nguyễn Văn Luông, Phường 12, Quận 6, TPHCM",1 tỷ 880 triệu
46,64.0,2,2,Sổ hồng,11/03/2023,21962083," Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, TPHCM",1 tỷ 376 triệu
47,48.0,2,2,Sổ hồng,11/03/2023,22033214," Hàng Bông, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội",700 triệu
48,73.0,2,2,Sổ hồng,11/03/2023,21978550," Lê Văn Khương, Phường Hiệp Thành, Quận 12, TPHCM",1 tỷ 550 triệu
49,124.0,3,2,Sổ hồng,11/03/2023,22052964," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",5 tỷ 650 triệu
50,65.0,2,2,Sổ hồng,11/03/2023,22027396," Đường số 44, Phường 16, Quận 8, TPHCM",1 tỷ 490 triệu
51,81.0,2,2,Sổ hồng,11/03/2023,21962460," Bùi Hữu Nghĩa, Phường 2, Quận Bình Thạnh, TPHCM",1 tỷ 490 triệu
